nm	Baseline	100	80	60	40
250	2.823	3.474	2.858	2.968	2.869
260	2.101	2.594	2.126	2.163	2.157
270	1.442	1.908	1.462	1.486	1.49
280	0.898	1.349	0.915	0.933	0.939
290	0.527	0.94	0.544	0.558	0.559
300	0.3	0.7	0.316	0.328	0.329
310	0.174	0.581	0.19	0.2	0.199
320	0.113	0.515	0.128	0.136	0.135
330	0.081	0.455	0.095	0.102	0.101
340	0.065	0.415	0.077	0.084	0.083
350	0.058	0.416	0.07	0.076	0.075
360	0.055	0.456	0.069	0.074	0.072
370	0.054	0.537	0.071	0.075	0.072
380	0.053	0.65	0.076	0.078	0.074
390	0.052	0.786	0.081	0.08	0.075
400	0.051	0.893	0.085	0.083	0.076
410	0.051	0.925	0.086	0.083	0.076
420	0.05	0.893	0.085	0.081	0.074
430	0.05	0.725	0.078	0.075	0.069
440	0.049	0.49	0.066	0.066	0.063
450	0.049	0.357	0.06	0.061	0.059
460	0.049	0.321	0.057	0.059	0.058
470	0.048	0.325	0.057	0.059	0.057
480	0.048	0.35	0.057	0.059	0.057
490	0.047	0.377	0.058	0.059	0.057
500	0.047	0.408	0.059	0.06	0.057
510	0.046	0.449	0.061	0.061	0.058
520	0.046	0.49	0.063	0.062	0.059
530	0.046	0.537	0.065	0.063	0.06
540	0.046	0.607	0.068	0.065	0.061
550	0.045	0.673	0.071	0.068	0.062
560	0.045	0.755	0.074	0.07	0.064
570	0.045	0.836	0.078	0.073	0.066
580	0.045	0.919	0.083	0.076	0.068
590	0.045	1.032	0.088	0.08	0.07
600	0.045	1.164	0.094	0.084	0.073
610	0.045	1.28	0.1	0.088	0.076
620	0.044	1.335	0.103	0.091	0.077
630	0.044	1.326	0.105	0.092	0.077
640	0.044	1.331	0.106	0.092	0.078
650	0.044	1.421	0.11	0.096	0.079
660	0.044	1.556	0.117	0.101	0.082
670	0.044	1.624	0.122	0.104	0.083
680	0.044	1.522	0.12	0.102	0.081
690	0.044	1.218	0.105	0.09	0.073
700	0.044	0.789	0.082	0.073	0.061
710	0.044	0.424	0.062	0.058	0.052
720	0.044	0.218	0.051	0.049	0.046
730	0.044	0.128	0.046	0.046	0.044
740	0.044	0.092	0.044	0.045	0.043
750	0.043	0.077	0.043	0.044	0.043
760	0.044	0.07	0.043	0.044	0.043
770	0.044	0.066	0.043	0.044	0.043
780	0.044	0.064	0.043	0.043	0.043
790	0.044	0.062	0.043	0.043	0.043
800	0.044	0.06	0.042	0.043	0.042
810	0.044	0.059	0.042	0.043	0.042
820	0.044	0.059	0.042	0.043	0.042
830	0.044	0.058	0.042	0.043	0.042
840	0.044	0.057	0.042	0.043	0.042
850	0.044	0.057	0.042	0.043	0.042
860	0.044	0.057	0.042	0.043	0.042
870	0.044	0.056	0.042	0.043	0.042
880	0.044	0.056	0.042	0.043	0.042
890	0.044	0.055	0.042	0.043	0.042
900	0.044	0.055	0.042	0.043	0.042
910	0.044	0.054	0.042	0.043	0.042
920	0.044	0.054	0.042	0.043	0.042
930	0.044	0.054	0.042	0.043	0.042
940	0.044	0.054	0.042	0.043	0.042
950	0.044	0.053	0.042	0.043	0.042
960	0.044	0.053	0.042	0.043	0.042
970	0.043	0.052	0.042	0.043	0.042
980	0.044	0.052	0.042	0.043	0.042
990	0.044	0.052	0.042	0.043	0.042
