nm	baseline	100	90	80	70	60	50	40	30	20	0
252	2.764	2.829	2.769	2.916	2.834	2.817	2.813	2.83	2.804	2.796	2.899
253	2.683	2.75	2.693	2.822	2.761	2.745	2.709	2.753	2.716	2.704	2.799
254	2.624	2.688	2.615	2.747	2.71	2.691	2.644	2.694	2.634	2.645	2.738
255	2.545	2.627	2.556	2.674	2.624	2.609	2.563	2.623	2.555	2.568	2.643
256	2.454	2.542	2.479	2.584	2.561	2.536	2.492	2.55	2.483	2.478	2.583
257	2.346	2.438	2.374	2.474	2.461	2.432	2.378	2.441	2.378	2.382	2.468
258	2.275	2.353	2.296	2.389	2.373	2.351	2.288	2.368	2.29	2.292	2.379
259	2.184	2.281	2.221	2.306	2.294	2.275	2.21	2.286	2.215	2.217	2.305
260	2.134	2.225	2.165	2.25	2.24	2.223	2.158	2.234	2.154	2.159	2.252
261	2.089	2.183	2.122	2.204	2.2	2.183	2.115	2.19	2.11	2.114	2.209
262	2.033	2.125	2.065	2.15	2.144	2.129	2.058	2.138	2.056	2.056	2.153
263	1.969	2.061	2.001	2.086	2.079	2.062	1.992	2.065	1.992	1.999	2.082
264	1.896	1.984	1.929	2.006	1.997	1.983	1.921	1.989	1.921	1.919	2.005
265	1.809	1.895	1.851	1.917	1.913	1.897	1.833	1.906	1.832	1.834	1.918
266	1.722	1.812	1.761	1.827	1.83	1.806	1.747	1.818	1.749	1.753	1.823
267	1.658	1.739	1.688	1.755	1.748	1.735	1.676	1.747	1.674	1.678	1.747
268	1.591	1.674	1.627	1.685	1.685	1.669	1.615	1.674	1.612	1.616	1.68
269	1.527	1.601	1.563	1.618	1.622	1.601	1.548	1.609	1.546	1.548	1.609
270	1.458	1.539	1.495	1.549	1.552	1.537	1.484	1.541	1.483	1.484	1.543
271	1.39	1.464	1.429	1.485	1.481	1.467	1.416	1.471	1.412	1.411	1.467
272	1.337	1.41	1.369	1.419	1.421	1.405	1.358	1.41	1.351	1.357	1.405
273	1.286	1.357	1.323	1.37	1.372	1.352	1.307	1.361	1.302	1.303	1.348
274	1.236	1.301	1.266	1.314	1.313	1.299	1.249	1.3	1.252	1.249	1.291
275	1.168	1.24	1.207	1.249	1.248	1.235	1.19	1.241	1.185	1.186	1.221
276	1.113	1.18	1.146	1.184	1.193	1.176	1.132	1.175	1.127	1.129	1.162
277	1.054	1.121	1.098	1.133	1.135	1.12	1.078	1.124	1.076	1.075	1.101
278	1.001	1.067	1.042	1.08	1.083	1.064	1.028	1.069	1.023	1.024	1.052
279	0.957	1.022	0.995	1.027	1.029	1.014	0.978	1.022	0.972	0.974	1
280	0.911	0.967	0.946	0.975	0.981	0.964	0.929	0.964	0.921	0.923	0.946
281	0.856	0.914	0.893	0.923	0.924	0.91	0.878	0.917	0.87	0.876	0.893
282	0.812	0.87	0.85	0.879	0.879	0.864	0.832	0.869	0.828	0.83	0.85
283	0.775	0.834	0.813	0.838	0.842	0.825	0.797	0.828	0.792	0.794	0.81
284	0.738	0.789	0.77	0.794	0.798	0.784	0.752	0.785	0.748	0.753	0.765
285	0.697	0.748	0.73	0.755	0.761	0.743	0.717	0.747	0.709	0.712	0.727
286	0.659	0.709	0.698	0.718	0.72	0.705	0.679	0.708	0.673	0.675	0.689
287	0.624	0.675	0.66	0.681	0.685	0.668	0.643	0.671	0.639	0.64	0.651
288	0.593	0.639	0.63	0.648	0.652	0.634	0.609	0.638	0.608	0.609	0.62
289	0.558	0.603	0.592	0.612	0.613	0.6	0.575	0.602	0.571	0.573	0.583
290	0.525	0.571	0.56	0.579	0.582	0.566	0.544	0.569	0.54	0.54	0.55
291	0.499	0.542	0.532	0.547	0.551	0.536	0.514	0.538	0.51	0.514	0.52
292	0.47	0.512	0.506	0.521	0.522	0.507	0.487	0.511	0.484	0.486	0.49
293	0.445	0.483	0.476	0.491	0.494	0.479	0.46	0.48	0.456	0.455	0.46
294	0.416	0.457	0.451	0.462	0.468	0.452	0.432	0.452	0.428	0.431	0.435
295	0.391	0.431	0.425	0.437	0.438	0.424	0.408	0.426	0.404	0.406	0.409
296	0.37	0.408	0.404	0.414	0.418	0.401	0.385	0.403	0.383	0.383	0.386
297	0.349	0.387	0.384	0.393	0.398	0.381	0.367	0.383	0.361	0.362	0.365
298	0.331	0.368	0.364	0.374	0.38	0.363	0.347	0.364	0.343	0.345	0.346
299	0.313	0.349	0.347	0.357	0.36	0.345	0.33	0.346	0.325	0.326	0.327
300	0.295	0.332	0.33	0.337	0.342	0.325	0.313	0.325	0.308	0.309	0.309
301	0.278	0.313	0.313	0.321	0.325	0.308	0.294	0.31	0.29	0.291	0.291
302	0.262	0.297	0.297	0.304	0.308	0.291	0.279	0.292	0.275	0.275	0.274
303	0.248	0.283	0.282	0.288	0.293	0.277	0.265	0.277	0.259	0.261	0.259
304	0.234	0.268	0.269	0.275	0.278	0.26	0.25	0.262	0.245	0.247	0.244
305	0.221	0.253	0.255	0.26	0.265	0.248	0.237	0.247	0.232	0.234	0.23
306	0.208	0.241	0.242	0.248	0.251	0.234	0.225	0.235	0.22	0.221	0.218
307	0.196	0.229	0.231	0.235	0.24	0.223	0.213	0.223	0.208	0.209	0.206
308	0.185	0.219	0.22	0.225	0.229	0.211	0.202	0.211	0.196	0.197	0.195
309	0.176	0.208	0.211	0.214	0.219	0.201	0.192	0.201	0.186	0.188	0.184
310	0.167	0.199	0.202	0.206	0.209	0.193	0.184	0.191	0.178	0.179	0.175
311	0.159	0.191	0.194	0.197	0.201	0.184	0.175	0.183	0.17	0.171	0.167
312	0.152	0.183	0.186	0.19	0.193	0.175	0.167	0.176	0.162	0.163	0.158
313	0.144	0.175	0.179	0.181	0.185	0.168	0.16	0.167	0.154	0.156	0.151
314	0.137	0.168	0.172	0.174	0.178	0.16	0.153	0.16	0.148	0.148	0.144
315	0.131	0.161	0.166	0.168	0.172	0.154	0.147	0.153	0.141	0.142	0.137
316	0.125	0.156	0.16	0.163	0.166	0.148	0.141	0.148	0.136	0.136	0.131
317	0.12	0.15	0.154	0.156	0.16	0.142	0.135	0.142	0.129	0.131	0.125
318	0.114	0.143	0.149	0.15	0.154	0.136	0.13	0.136	0.124	0.125	0.119
319	0.109	0.139	0.144	0.146	0.149	0.131	0.125	0.131	0.119	0.12	0.114
320	0.105	0.134	0.139	0.141	0.144	0.126	0.12	0.126	0.114	0.116	0.11
321	0.101	0.129	0.135	0.136	0.139	0.122	0.116	0.121	0.11	0.111	0.105
322	0.096	0.125	0.13	0.131	0.135	0.117	0.111	0.117	0.105	0.107	0.101
323	0.092	0.12	0.126	0.127	0.13	0.113	0.107	0.112	0.102	0.103	0.097
324	0.089	0.117	0.122	0.123	0.126	0.109	0.104	0.108	0.098	0.099	0.093
325	0.086	0.113	0.119	0.12	0.123	0.105	0.1	0.105	0.095	0.096	0.09
326	0.083	0.11	0.116	0.117	0.12	0.103	0.098	0.102	0.092	0.093	0.087
327	0.08	0.107	0.113	0.114	0.117	0.1	0.095	0.099	0.089	0.09	0.084
328	0.078	0.104	0.11	0.11	0.114	0.097	0.092	0.096	0.086	0.087	0.081
329	0.075	0.101	0.107	0.107	0.111	0.094	0.089	0.093	0.084	0.085	0.079
330	0.073	0.098	0.104	0.104	0.108	0.091	0.087	0.09	0.081	0.082	0.076
331	0.071	0.096	0.102	0.102	0.105	0.089	0.084	0.088	0.079	0.08	0.074
332	0.069	0.093	0.099	0.099	0.103	0.086	0.082	0.086	0.077	0.078	0.072
333	0.067	0.091	0.097	0.097	0.101	0.084	0.081	0.084	0.075	0.076	0.07
334	0.065	0.089	0.095	0.095	0.099	0.083	0.078	0.082	0.073	0.074	0.068
335	0.064	0.087	0.093	0.093	0.097	0.081	0.077	0.08	0.071	0.072	0.067
336	0.062	0.086	0.092	0.092	0.095	0.079	0.075	0.079	0.07	0.071	0.065
337	0.061	0.084	0.09	0.09	0.094	0.078	0.074	0.077	0.068	0.07	0.064
338	0.059	0.083	0.088	0.088	0.092	0.076	0.072	0.075	0.067	0.068	0.062
339	0.059	0.081	0.087	0.087	0.091	0.075	0.071	0.074	0.066	0.067	0.061
340	0.057	0.08	0.085	0.086	0.089	0.073	0.07	0.073	0.065	0.066	0.059
341	0.056	0.078	0.084	0.084	0.088	0.072	0.069	0.071	0.063	0.064	0.058
342	0.055	0.078	0.084	0.083	0.087	0.071	0.068	0.07	0.063	0.064	0.057
343	0.054	0.077	0.083	0.082	0.086	0.07	0.067	0.069	0.061	0.063	0.057
344	0.053	0.076	0.082	0.081	0.085	0.069	0.066	0.069	0.061	0.061	0.056
345	0.053	0.075	0.081	0.081	0.085	0.069	0.065	0.068	0.06	0.061	0.055
346	0.052	0.075	0.081	0.081	0.084	0.068	0.065	0.067	0.06	0.06	0.055
347	0.052	0.074	0.08	0.08	0.083	0.068	0.064	0.066	0.059	0.06	0.054
348	0.051	0.074	0.08	0.08	0.083	0.067	0.064	0.066	0.059	0.059	0.053
349	0.051	0.073	0.079	0.079	0.083	0.066	0.063	0.066	0.058	0.059	0.053
350	0.05	0.073	0.079	0.079	0.082	0.066	0.063	0.065	0.057	0.058	0.052
351	0.05	0.072	0.079	0.079	0.082	0.066	0.062	0.065	0.057	0.058	0.052
352	0.05	0.072	0.078	0.078	0.081	0.065	0.062	0.064	0.057	0.057	0.051
353	0.049	0.072	0.078	0.078	0.081	0.065	0.062	0.064	0.056	0.057	0.051
354	0.049	0.072	0.078	0.078	0.081	0.065	0.061	0.064	0.056	0.057	0.051
355	0.049	0.072	0.078	0.078	0.081	0.065	0.061	0.063	0.055	0.056	0.051
356	0.048	0.072	0.078	0.078	0.081	0.065	0.061	0.063	0.055	0.056	0.05
357	0.048	0.072	0.079	0.079	0.082	0.064	0.061	0.063	0.055	0.056	0.05
358	0.048	0.072	0.079	0.079	0.082	0.065	0.061	0.063	0.055	0.056	0.05
359	0.048	0.072	0.079	0.079	0.082	0.064	0.061	0.063	0.054	0.055	0.049
360	0.047	0.072	0.079	0.079	0.082	0.064	0.061	0.063	0.054	0.055	0.049
361	0.047	0.073	0.08	0.08	0.083	0.064	0.061	0.063	0.054	0.055	0.049
362	0.047	0.073	0.08	0.08	0.083	0.064	0.061	0.063	0.054	0.055	0.049
363	0.047	0.073	0.081	0.081	0.084	0.065	0.061	0.063	0.054	0.055	0.048
364	0.046	0.074	0.081	0.082	0.084	0.065	0.061	0.063	0.054	0.055	0.048
365	0.046	0.074	0.082	0.082	0.085	0.065	0.061	0.063	0.054	0.055	0.048
366	0.046	0.075	0.083	0.083	0.086	0.065	0.061	0.063	0.054	0.055	0.048
367	0.046	0.076	0.084	0.085	0.087	0.066	0.062	0.064	0.054	0.055	0.048
368	0.046	0.076	0.084	0.085	0.087	0.066	0.062	0.064	0.054	0.055	0.047
369	0.046	0.077	0.085	0.086	0.088	0.066	0.062	0.064	0.054	0.055	0.048
370	0.046	0.078	0.086	0.087	0.089	0.067	0.063	0.064	0.054	0.055	0.048
371	0.046	0.079	0.088	0.089	0.09	0.067	0.063	0.064	0.054	0.055	0.047
372	0.046	0.08	0.089	0.09	0.091	0.067	0.063	0.064	0.054	0.055	0.047
373	0.046	0.081	0.09	0.091	0.092	0.068	0.064	0.065	0.054	0.056	0.047
374	0.046	0.082	0.091	0.092	0.093	0.069	0.064	0.065	0.054	0.056	0.047
375	0.046	0.083	0.092	0.094	0.095	0.069	0.065	0.066	0.055	0.056	0.047
376	0.046	0.084	0.093	0.095	0.096	0.069	0.065	0.066	0.055	0.056	0.047
377	0.046	0.085	0.095	0.096	0.097	0.07	0.066	0.066	0.055	0.056	0.047
378	0.046	0.086	0.096	0.098	0.098	0.07	0.066	0.066	0.055	0.056	0.047
379	0.046	0.087	0.097	0.099	0.099	0.071	0.066	0.067	0.055	0.056	0.047
380	0.046	0.088	0.099	0.101	0.101	0.072	0.067	0.068	0.055	0.057	0.047
381	0.045	0.089	0.1	0.102	0.102	0.072	0.067	0.068	0.055	0.057	0.047
382	0.046	0.09	0.101	0.104	0.103	0.073	0.068	0.068	0.056	0.057	0.047
383	0.045	0.091	0.103	0.105	0.104	0.073	0.068	0.068	0.056	0.057	0.047
384	0.045	0.092	0.104	0.107	0.106	0.074	0.069	0.069	0.056	0.057	0.047
385	0.045	0.094	0.106	0.108	0.107	0.074	0.069	0.069	0.056	0.057	0.047
386	0.045	0.095	0.107	0.11	0.108	0.075	0.069	0.07	0.056	0.058	0.046
387	0.045	0.096	0.108	0.112	0.11	0.075	0.07	0.07	0.056	0.058	0.046
388	0.045	0.097	0.11	0.113	0.111	0.076	0.07	0.07	0.056	0.058	0.046
389	0.045	0.098	0.111	0.114	0.112	0.076	0.071	0.07	0.056	0.058	0.046
390	0.045	0.099	0.113	0.116	0.113	0.077	0.071	0.071	0.056	0.058	0.046
391	0.045	0.101	0.114	0.117	0.115	0.077	0.072	0.071	0.056	0.058	0.046
392	0.044	0.102	0.115	0.119	0.116	0.078	0.072	0.072	0.056	0.058	0.046
393	0.045	0.103	0.117	0.12	0.117	0.078	0.072	0.072	0.056	0.058	0.045
394	0.044	0.104	0.118	0.122	0.118	0.079	0.073	0.072	0.056	0.058	0.046
395	0.044	0.105	0.119	0.123	0.12	0.079	0.073	0.073	0.056	0.058	0.045
396	0.044	0.107	0.121	0.125	0.121	0.08	0.074	0.073	0.057	0.059	0.045
397	0.044	0.108	0.122	0.126	0.122	0.081	0.074	0.073	0.057	0.058	0.045
398	0.044	0.109	0.123	0.127	0.123	0.081	0.075	0.073	0.057	0.059	0.045
399	0.044	0.11	0.124	0.129	0.124	0.082	0.075	0.074	0.057	0.059	0.045
400	0.044	0.11	0.126	0.13	0.125	0.082	0.075	0.074	0.057	0.059	0.045
401	0.044	0.112	0.127	0.131	0.127	0.083	0.076	0.075	0.057	0.059	0.045
402	0.044	0.112	0.127	0.132	0.127	0.083	0.076	0.075	0.057	0.059	0.045
403	0.044	0.114	0.128	0.133	0.128	0.083	0.076	0.075	0.057	0.059	0.045
404	0.044	0.114	0.129	0.134	0.128	0.084	0.076	0.075	0.057	0.059	0.045
405	0.044	0.115	0.13	0.134	0.129	0.084	0.077	0.075	0.058	0.06	0.045
406	0.044	0.115	0.13	0.135	0.129	0.084	0.077	0.075	0.057	0.059	0.045
407	0.044	0.115	0.131	0.135	0.13	0.084	0.077	0.075	0.057	0.059	0.045
408	0.044	0.116	0.131	0.135	0.13	0.084	0.077	0.075	0.058	0.06	0.045
409	0.044	0.116	0.132	0.136	0.13	0.084	0.077	0.076	0.058	0.06	0.045
410	0.044	0.116	0.132	0.136	0.131	0.084	0.077	0.076	0.058	0.06	0.045
411	0.044	0.117	0.132	0.136	0.13	0.085	0.077	0.076	0.057	0.059	0.045
412	0.044	0.117	0.132	0.137	0.131	0.085	0.077	0.076	0.058	0.06	0.045
413	0.044	0.117	0.132	0.136	0.131	0.085	0.077	0.076	0.058	0.06	0.045
414	0.044	0.117	0.132	0.137	0.131	0.084	0.077	0.076	0.057	0.059	0.045
415	0.044	0.117	0.132	0.137	0.131	0.084	0.077	0.076	0.057	0.059	0.045
416	0.044	0.117	0.132	0.136	0.131	0.084	0.077	0.076	0.057	0.059	0.045
417	0.044	0.117	0.132	0.136	0.13	0.084	0.077	0.076	0.057	0.059	0.044
418	0.043	0.117	0.132	0.136	0.13	0.084	0.077	0.076	0.057	0.059	0.045
419	0.043	0.117	0.131	0.136	0.13	0.084	0.076	0.075	0.057	0.059	0.044
420	0.043	0.116	0.131	0.135	0.129	0.084	0.076	0.075	0.057	0.059	0.044
421	0.044	0.116	0.131	0.134	0.129	0.084	0.076	0.075	0.057	0.059	0.044
422	0.043	0.115	0.13	0.133	0.128	0.083	0.076	0.074	0.057	0.059	0.044
423	0.043	0.115	0.129	0.132	0.127	0.083	0.075	0.074	0.056	0.058	0.044
424	0.043	0.114	0.127	0.131	0.126	0.082	0.075	0.073	0.056	0.058	0.044
425	0.043	0.113	0.126	0.13	0.125	0.082	0.075	0.073	0.056	0.058	0.045
426	0.043	0.111	0.125	0.128	0.123	0.081	0.074	0.073	0.056	0.057	0.044
427	0.043	0.11	0.123	0.126	0.121	0.08	0.073	0.072	0.055	0.057	0.044
428	0.043	0.108	0.121	0.124	0.119	0.079	0.072	0.071	0.055	0.057	0.044
429	0.043	0.106	0.119	0.121	0.117	0.078	0.071	0.071	0.055	0.056	0.044
430	0.043	0.104	0.116	0.119	0.115	0.077	0.07	0.07	0.054	0.056	0.044
431	0.043	0.102	0.114	0.116	0.113	0.075	0.069	0.069	0.054	0.055	0.044
432	0.043	0.1	0.111	0.113	0.11	0.075	0.069	0.068	0.054	0.055	0.044
433	0.043	0.097	0.108	0.11	0.108	0.073	0.067	0.067	0.053	0.054	0.044
434	0.043	0.095	0.106	0.107	0.105	0.072	0.066	0.066	0.053	0.054	0.044
435	0.043	0.093	0.103	0.104	0.103	0.07	0.065	0.065	0.052	0.053	0.044
436	0.043	0.09	0.1	0.101	0.1	0.069	0.064	0.064	0.052	0.053	0.044
437	0.043	0.088	0.097	0.099	0.098	0.068	0.063	0.063	0.052	0.053	0.044
438	0.043	0.086	0.095	0.096	0.095	0.067	0.062	0.062	0.051	0.052	0.044
439	0.043	0.083	0.092	0.093	0.092	0.066	0.061	0.061	0.051	0.051	0.044
440	0.043	0.081	0.089	0.09	0.09	0.064	0.06	0.06	0.05	0.051	0.044
441	0.043	0.08	0.087	0.088	0.088	0.063	0.059	0.059	0.05	0.051	0.044
442	0.043	0.078	0.085	0.086	0.086	0.062	0.058	0.059	0.049	0.05	0.044
443	0.043	0.076	0.083	0.084	0.085	0.062	0.057	0.058	0.049	0.05	0.044
444	0.043	0.074	0.081	0.082	0.083	0.061	0.057	0.058	0.049	0.05	0.043
445	0.043	0.073	0.079	0.08	0.081	0.06	0.056	0.057	0.049	0.049	0.044
446	0.043	0.071	0.078	0.078	0.079	0.059	0.055	0.056	0.048	0.049	0.043
447	0.043	0.07	0.076	0.076	0.078	0.059	0.055	0.056	0.048	0.049	0.044
448	0.043	0.069	0.075	0.075	0.077	0.058	0.054	0.056	0.048	0.049	0.044
449	0.043	0.068	0.074	0.074	0.076	0.058	0.054	0.055	0.048	0.048	0.044
450	0.043	0.067	0.073	0.073	0.075	0.057	0.054	0.055	0.048	0.048	0.044
451	0.043	0.067	0.072	0.072	0.074	0.057	0.053	0.054	0.048	0.048	0.044
452	0.043	0.066	0.071	0.071	0.073	0.056	0.053	0.054	0.047	0.048	0.043
453	0.043	0.065	0.07	0.07	0.072	0.056	0.052	0.054	0.047	0.048	0.043
454	0.043	0.065	0.07	0.069	0.072	0.056	0.052	0.053	0.047	0.048	0.043
455	0.043	0.064	0.069	0.069	0.071	0.055	0.052	0.054	0.047	0.047	0.043
456	0.042	0.064	0.069	0.068	0.071	0.055	0.052	0.053	0.047	0.047	0.043
457	0.042	0.063	0.068	0.067	0.07	0.055	0.051	0.053	0.047	0.047	0.043
458	0.042	0.063	0.068	0.067	0.07	0.054	0.051	0.052	0.046	0.047	0.043
459	0.042	0.063	0.067	0.067	0.07	0.054	0.051	0.053	0.047	0.047	0.043
460	0.042	0.062	0.067	0.067	0.069	0.054	0.051	0.052	0.046	0.047	0.043
461	0.042	0.062	0.067	0.067	0.069	0.054	0.051	0.052	0.046	0.047	0.043
462	0.042	0.062	0.066	0.066	0.069	0.054	0.051	0.052	0.046	0.047	0.043
463	0.042	0.062	0.067	0.066	0.069	0.054	0.051	0.052	0.046	0.047	0.043
464	0.042	0.062	0.067	0.067	0.069	0.054	0.051	0.052	0.046	0.047	0.043
465	0.042	0.062	0.066	0.066	0.069	0.054	0.051	0.052	0.046	0.047	0.043
466	0.042	0.061	0.066	0.066	0.068	0.054	0.051	0.052	0.046	0.047	0.043
467	0.042	0.061	0.066	0.066	0.068	0.054	0.051	0.052	0.046	0.047	0.043
468	0.042	0.061	0.066	0.066	0.069	0.054	0.051	0.052	0.046	0.047	0.043
469	0.042	0.062	0.066	0.066	0.068	0.054	0.051	0.052	0.046	0.047	0.043
470	0.042	0.061	0.066	0.066	0.068	0.054	0.051	0.052	0.046	0.046	0.043
471	0.042	0.062	0.067	0.066	0.069	0.054	0.051	0.052	0.046	0.047	0.043
472	0.042	0.062	0.066	0.066	0.069	0.054	0.051	0.052	0.046	0.047	0.043
473	0.042	0.062	0.066	0.067	0.069	0.054	0.051	0.052	0.046	0.047	0.043
474	0.042	0.062	0.066	0.066	0.068	0.054	0.051	0.052	0.046	0.047	0.043
475	0.042	0.062	0.066	0.067	0.068	0.054	0.052	0.052	0.046	0.047	0.043
476	0.042	0.062	0.067	0.067	0.069	0.054	0.051	0.052	0.046	0.047	0.043
477	0.042	0.062	0.067	0.067	0.069	0.054	0.051	0.052	0.046	0.046	0.043
478	0.042	0.062	0.067	0.067	0.069	0.054	0.051	0.052	0.046	0.047	0.043
479	0.042	0.062	0.067	0.068	0.069	0.054	0.051	0.052	0.046	0.047	0.043
480	0.042	0.063	0.067	0.068	0.069	0.054	0.051	0.052	0.046	0.047	0.043
481	0.042	0.062	0.067	0.068	0.069	0.054	0.051	0.052	0.046	0.046	0.043
482	0.042	0.063	0.068	0.068	0.07	0.054	0.052	0.052	0.046	0.047	0.043
483	0.042	0.063	0.068	0.069	0.07	0.054	0.051	0.052	0.046	0.047	0.043
484	0.042	0.063	0.068	0.069	0.07	0.055	0.052	0.052	0.046	0.047	0.042
485	0.042	0.063	0.068	0.069	0.07	0.055	0.052	0.052	0.046	0.047	0.042
486	0.042	0.064	0.069	0.069	0.071	0.055	0.052	0.052	0.046	0.047	0.043
487	0.042	0.063	0.069	0.07	0.071	0.055	0.052	0.053	0.046	0.047	0.042
488	0.042	0.064	0.069	0.07	0.071	0.055	0.052	0.052	0.046	0.047	0.043
489	0.042	0.064	0.069	0.07	0.071	0.055	0.052	0.053	0.046	0.047	0.043
490	0.042	0.064	0.07	0.07	0.071	0.055	0.052	0.053	0.046	0.047	0.042
491	0.042	0.065	0.07	0.071	0.072	0.055	0.052	0.053	0.046	0.047	0.043
492	0.041	0.065	0.07	0.071	0.072	0.055	0.052	0.053	0.046	0.047	0.042
493	0.042	0.065	0.07	0.071	0.072	0.056	0.053	0.053	0.046	0.047	0.042
494	0.042	0.065	0.071	0.072	0.073	0.056	0.053	0.053	0.046	0.048	0.043
495	0.041	0.065	0.071	0.073	0.073	0.056	0.053	0.053	0.046	0.047	0.042
496	0.041	0.066	0.072	0.072	0.073	0.056	0.053	0.053	0.047	0.047	0.042
497	0.041	0.066	0.072	0.073	0.074	0.056	0.053	0.053	0.046	0.047	0.042
498	0.041	0.066	0.072	0.073	0.074	0.056	0.052	0.053	0.046	0.047	0.042
499	0.042	0.067	0.073	0.074	0.074	0.056	0.054	0.054	0.046	0.048	0.043
500	0.041	0.066	0.073	0.074	0.074	0.056	0.053	0.053	0.046	0.047	0.042
501	0.042	0.067	0.073	0.074	0.075	0.057	0.053	0.054	0.046	0.047	0.042
502	0.041	0.067	0.074	0.075	0.075	0.056	0.053	0.054	0.047	0.048	0.042
503	0.041	0.067	0.073	0.075	0.075	0.056	0.053	0.053	0.046	0.047	0.042
504	0.041	0.068	0.074	0.075	0.076	0.057	0.054	0.053	0.047	0.048	0.042
505	0.041	0.068	0.074	0.076	0.076	0.057	0.054	0.054	0.046	0.047	0.042
506	0.041	0.068	0.075	0.077	0.076	0.057	0.054	0.054	0.046	0.047	0.042
507	0.041	0.069	0.075	0.077	0.077	0.057	0.054	0.054	0.046	0.047	0.042
508	0.041	0.069	0.076	0.077	0.077	0.057	0.054	0.054	0.047	0.048	0.042
509	0.041	0.069	0.076	0.078	0.078	0.057	0.054	0.054	0.047	0.048	0.042
510	0.041	0.069	0.076	0.078	0.078	0.057	0.054	0.054	0.047	0.047	0.042
511	0.041	0.07	0.077	0.079	0.078	0.058	0.054	0.054	0.047	0.048	0.042
512	0.041	0.07	0.077	0.079	0.079	0.058	0.055	0.054	0.047	0.048	0.042
513	0.041	0.07	0.078	0.08	0.079	0.058	0.055	0.055	0.047	0.048	0.042
514	0.041	0.071	0.078	0.08	0.08	0.059	0.055	0.055	0.047	0.048	0.042
515	0.041	0.071	0.078	0.08	0.08	0.058	0.055	0.055	0.047	0.048	0.042
516	0.041	0.071	0.079	0.081	0.08	0.058	0.056	0.055	0.047	0.048	0.042
517	0.041	0.072	0.08	0.082	0.081	0.059	0.056	0.055	0.047	0.048	0.042
518	0.041	0.072	0.08	0.082	0.081	0.059	0.056	0.055	0.047	0.048	0.042
519	0.041	0.072	0.08	0.083	0.082	0.059	0.056	0.055	0.048	0.048	0.042
520	0.041	0.073	0.081	0.083	0.082	0.059	0.056	0.056	0.047	0.048	0.042
521	0.041	0.073	0.081	0.084	0.082	0.059	0.056	0.056	0.047	0.048	0.042
