idtbt_ps_100 Cycle01			idtbt_ps_80 Cycle01						idtbt_ps_60 Cycle01		
nm	A		nm	A					nm	A	
300	0.01500264		300	-0.01304901	0.01127193	0.022010318			300	0.02237822	0.0234426
301	0.0176634		301	-0.011831	0.01248994	0.024388685			301	0.02402478	0.02508916
302	0.01757058		302	-0.01082684	0.0134941	0.026349475			302	0.02496514	0.02602952
303	0.01668385		303	-0.01132804	0.0129929	0.025370798			303	0.02442772	0.0254921
304	0.01629526		304	-0.01141348	0.01290746	0.025203962			304	0.0241866	0.02525098
305	0.01663868		305	-0.01078509	0.01353585	0.026430998			305	0.02377636	0.02484074
306	0.01779518		306	-0.01054374	0.0137772	0.026902274			306	0.02392737	0.02499175
307	0.01690503		307	-0.0104404	0.01388054	0.027104063			307	0.0236591	0.02472348
308	0.01762575		308	-0.01009988	0.01422106	0.027768985			308	0.02428501	0.02534939
309	0.01855172		309	-0.0103582	0.01396274	0.027264572			309	0.02391592	0.0249803
310	0.0191066		310	-0.01003073	0.01429021	0.027904012			310	0.02390889	0.02497327
311	0.0180145		311	-0.0103008	0.01402014	0.027376655			311	0.02429265	0.02535703
312	0.01825737		312	-0.01039233	0.01392861	0.027197928			312	0.02452661	0.02559099
313	0.01895245		313	-0.00988122	0.01443972	0.028195955			313	0.02299216	0.02405654
314	0.01848498		314	-0.00997481	0.01434613	0.028013205			314	0.02332239	0.02438677
315	0.01976735		315	-0.01010166	0.01421928	0.027765509			315	0.02465319	0.02571757
316	0.01857513		316	-0.00988598	0.01443496	0.02818666			316	0.02427079	0.02533517
317	0.01840094		317	-0.00952295	0.01479799	0.028895537			317	0.0228296	0.02389398
318	0.01790939		318	-0.00990441	0.01441653	0.028150673			318	0.02297916	0.02404354
319	0.01989748		319	-0.0091855	0.01513544	0.029554464			319	0.02353256	0.02459694
320	0.01832141		320	-0.00999589	0.01432505	0.027972043			320	0.02263435	0.02369873
321	0.01849245		321	-0.00959714	0.0147238	0.028750668			321	0.0234759	0.02454028
322	0.01758017		322	-0.00956016	0.01476078	0.028822878			322	0.02316149	0.02422587
323	0.01877568		323	-0.00976771	0.01455323	0.028417602			323	0.02321503	0.02427941
324	0.02024668		324	-0.00980166	0.01451928	0.028351309			324	0.02351199	0.02457637
325	0.02101676		325	-0.00922693	0.01509401	0.029473565			325	0.02322122	0.0242856
326	0.01945277		326	-0.00948515	0.01483579	0.028969347			326	0.02395139	0.02501577
327	0.01867612		327	-0.01001826	0.01430268	0.027928361			327	0.02304778	0.02411216
328	0.01843458		328	-0.0098875	0.01443344	0.028183692			328	0.02190566	0.02297004
329	0.01732651		329	-0.01028958	0.01403136	0.027398564			329	0.0219494	0.02301378
330	0.01806127		330	-0.00968674	0.0146342	0.028575709			330	0.02186113	0.02292551
331	0.01762265		331	-0.00973668	0.01458426	0.028478193			331	0.02186827	0.02293265
332	0.01800242		332	-0.00925583	0.01506511	0.029417133			332	0.02315977	0.02422415
333	0.01745129		333	-0.00993284	0.0143881	0.028095158			333	0.02197282	0.0230372
334	0.01845425		334	-0.00954599	0.01477495	0.028850547			334	0.02156857	0.02263295
335	0.01773053		335	-0.00976302	0.01455792	0.02842676			335	0.02157247	0.02263685
336	0.01717909		336	-0.00991186	0.01440908	0.028136125			336	0.02113488	0.02219926
337	0.01830582		337	-0.00984141	0.01447953	0.02827369			337	0.02210793	0.02317231
338	0.01774768		338	-0.00888954	0.0154314	0.030132375			338	0.0214959	0.02256028
339	0.01721167		339	-0.00978106	0.01453988	0.028391534			339	0.02193013	0.02299451
340	0.0168453		340	-0.00993527	0.01438567	0.028090413			340	0.02072515	0.02178953
341	0.01722242		341	-0.00954687	0.01477407	0.028848829			341	0.02111449	0.02217887
342	0.0173901		342	-0.01002866	0.01429228	0.027908054			342	0.02056385	0.02162823
343	0.01810127		343	-0.00946268	0.01485826	0.029013224			343	0.02073954	0.02180392
344	0.01766423		344	-0.00900376	0.01531718	0.029909341			344	0.02154691	0.02261129
345	0.01864942		345	-0.00962129	0.01469965	0.028703511			345	0.02137915	0.02244353
346	0.01891818		346	-0.01007418	0.01424676	0.027819168			346	0.02061642	0.0216808
347	0.01794854		347	-0.01018087	0.01414007	0.027610838			347	0.02150119	0.02256557
348	0.01773301		348	-0.00988919	0.01443175	0.028180392			348	0.02078889	0.02185327
349	0.01734503		349	-0.00808714	0.0162338	0.031699194			349	0.02061704	0.02168142
350	0.01873247		350	-0.00863568	0.01568526	0.030628079			350	0.02184437	0.02290875
351	0.01792972		351	-0.00961257	0.01470837	0.028720539			351	0.02037244	0.02143682
352	0.01682436		352	-0.00963519	0.01468575	0.028676369			352	0.02025869	0.02132307
353	0.019814		353	-0.00907049	0.01525045	0.02977904			353	0.02101231	0.02207669
354	0.01857385		354	-0.00909265	0.01522829	0.029735769			354	0.02063619	0.02170057
355	0.01902905		355	-0.00884945	0.01547149	0.030210657			355	0.02262657	0.02369095
356	0.02011832		356	-0.00842973	0.01589121	0.03103023			356	0.02282974	0.02389412
357	0.02126319		357	-0.00831431	0.01600663	0.031255607			357	0.02360259	0.02466697
358	0.02153308		358	-0.00797157	0.01634937	0.031924864			358	0.02251154	0.02357592
359	0.02156895		359	-0.00859	0.01573094	0.030717277			359	0.02212156	0.02318594
360	0.0214088		360	-0.00772019	0.01660075	0.032415725			360	0.02416793	0.02523231
361	0.02394754		361	-0.00800953	0.01631141	0.031850741			361	0.02411994	0.02518432
362	0.02412859		362	-0.00831132	0.01600962	0.031261446			362	0.02266382	0.0237282
363	0.0246035		363	-0.00709647	0.01722447	0.033633642			363	0.02420415	0.02526853
364	0.02288443		364	-0.00688248	0.01743846	0.034051493			364	0.02359122	0.0246556
365	0.02225474		365	-0.00755702	0.01676392	0.032734342			365	0.0227622	0.02382658
366	0.02268106		366	-0.00692524	0.0173957	0.033967997			366	0.02245675	0.02352113
367	0.02336854		367	-0.00619279	0.01812815	0.035398228			367	0.02379621	0.02486059
368	0.02379988		368	-0.00563546	0.01868548	0.036486507			368	0.02359122	0.0246556
369	0.02279803		369	-0.00651181	0.01780913	0.034775288			369	0.02249789	0.02356227
370	0.0236162		370	-0.00625762	0.01806332	0.035271636			370	0.02300456	0.02406894
371	0.02448195		371	-0.00566496	0.01865598	0.036428904			371	0.02303307	0.02409745
372	0.02400192		372	-0.00577081	0.01855013	0.036222214			372	0.02197564	0.02304002
373	0.02520227		373	-0.00514452	0.01917642	0.037445149			373	0.02283173	0.02389611
374	0.02551742		374	-0.00487842	0.01944252	0.037964754			374	0.02288083	0.02394521
375	0.02705195		375	-0.00464043	0.01968051	0.038429469			375	0.02362684	0.02469122
376	0.02799815		376	-0.00434306	0.01997788	0.039010133			376	0.024623	0.02568738
377	0.0290867		377	-0.00403557	0.02028537	0.039610559			377	0.02476588	0.02583026
378	0.03028564		378	-0.00392122	0.02039972	0.039833846			378	0.02519525	0.02625963
379	0.02895729		379	-0.003845	0.02047594	0.039982678			379	0.02498644	0.02605082
380	0.02987734		380	-0.00383344	0.0204875	0.040005251			380	0.02459084	0.02565522
381	0.03066879		381	-0.00333779	0.02098315	0.04097309			381	0.02381822	0.0248826
382	0.03105556		382	-0.00318069	0.02114025	0.041279854			382	0.02422097	0.02528535
383	0.03227088		383	-0.00296391	0.02135703	0.041703153			383	0.02537843	0.02644281
384	0.03410435		384	-0.00184552	0.02247542	0.043886996			384	0.02647197	0.02753635
385	0.03413987		385	-0.00236291	0.02195803	0.042876706			385	0.02617981	0.02724419
386	0.03452791		386	-0.00163091	0.02269003	0.044306057			386	0.02621757	0.02728195
387	0.03481117		387	-0.00195798	0.02236296	0.043667399			387	0.02626308	0.02732746
388	0.03606328		388	-0.00154075	0.02278019	0.04448211			388	0.02582124	0.02688562
389	0.0361691		389	-0.00143865	0.02288229	0.044681477			389	0.02692248	0.02798686
390	0.03740252		390	-0.00128522	0.02303572	0.044981074			390	0.02744377	0.02850815
391	0.03855631		391	-0.00107896	0.02324198	0.045383831			391	0.02734982	0.0284142
392	0.03994582		392	-0.00102617	0.02329477	0.045486913			392	0.02702089	0.02808527
