Batch	scan055
EV300 154404	100%T Baseline Correction
idtbt_ps_60 Cycle01	3/10/2021 11:11:14AM
nm	A
300.00	0.02237822
301.00	0.02402478
302.00	0.02496514
303.00	0.02442772
304.00	0.02418660
305.00	0.02377636
306.00	0.02392737
307.00	0.02365910
308.00	0.02428501
309.00	0.02391592
310.00	0.02390889
311.00	0.02429265
312.00	0.02452661
313.00	0.02299216
314.00	0.02332239
315.00	0.02465319
316.00	0.02427079
317.00	0.02282960
318.00	0.02297916
319.00	0.02353256
320.00	0.02263435
321.00	0.02347590
322.00	0.02316149
323.00	0.02321503
324.00	0.02351199
325.00	0.02322122
326.00	0.02395139
327.00	0.02304778
328.00	0.02190566
329.00	0.02194940
330.00	0.02186113
331.00	0.02186827
332.00	0.02315977
333.00	0.02197282
334.00	0.02156857
335.00	0.02157247
336.00	0.02113488
337.00	0.02210793
338.00	0.02149590
339.00	0.02193013
340.00	0.02072515
341.00	0.02111449
342.00	0.02056385
343.00	0.02073954
344.00	0.02154691
345.00	0.02137915
346.00	0.02061642
347.00	0.02150119
348.00	0.02078889
349.00	0.02061704
350.00	0.02184437
351.00	0.02037244
352.00	0.02025869
353.00	0.02101231
354.00	0.02063619
355.00	0.02262657
356.00	0.02282974
357.00	0.02360259
358.00	0.02251154
359.00	0.02212156
360.00	0.02416793
361.00	0.02411994
362.00	0.02266382
363.00	0.02420415
364.00	0.02359122
365.00	0.02276220
366.00	0.02245675
367.00	0.02379621
368.00	0.02359122
369.00	0.02249789
370.00	0.02300456
371.00	0.02303307
372.00	0.02197564
373.00	0.02283173
374.00	0.02288083
375.00	0.02362684
376.00	0.02462300
377.00	0.02476588
378.00	0.02519525
379.00	0.02498644
380.00	0.02459084
381.00	0.02381822
382.00	0.02422097
383.00	0.02537843
384.00	0.02647197
385.00	0.02617981
386.00	0.02621757
387.00	0.02626308
388.00	0.02582124
389.00	0.02692248
390.00	0.02744377
391.00	0.02734982
392.00	0.02702089
393.00	0.02813614
394.00	0.02680987
395.00	0.02786201
396.00	0.02775536
397.00	0.02686460
398.00	0.02792080
399.00	0.02813325
400.00	0.02802890
401.00	0.02805756
402.00	0.02833030
403.00	0.02853821
404.00	0.02901042
405.00	0.02869156
406.00	0.02944847
407.00	0.02885176
408.00	0.02858803
409.00	0.02910009
410.00	0.02884659
411.00	0.02929720
412.00	0.02879939
413.00	0.02785212
414.00	0.02820420
415.00	0.02870911
416.00	0.02912656
417.00	0.02806728
418.00	0.02923630
419.00	0.02756428
420.00	0.02949663
421.00	0.02935125
422.00	0.02834555
423.00	0.02818918
424.00	0.02805293
425.00	0.02929425
426.00	0.02584033
427.00	0.02713155
428.00	0.02671814
429.00	0.02758222
430.00	0.02581695
431.00	0.02610584
432.00	0.02550270
433.00	0.02294587
434.00	0.02562486
435.00	0.02364706
436.00	0.02224385
437.00	0.02490885
438.00	0.02226858
439.00	0.02266829
440.00	0.02263439
441.00	0.02332955
442.00	0.02371414
443.00	0.02277264
444.00	0.02198470
445.00	0.02134556
446.00	0.02154753
447.00	0.02302339
448.00	0.02042112
449.00	0.02313846
450.00	0.01853879
451.00	0.02106486
452.00	0.02003067
453.00	0.02152414
454.00	0.02057500
455.00	0.02065843
456.00	0.01949696
457.00	0.01979666
458.00	0.01997744
459.00	0.02132398
460.00	0.02195759
461.00	0.02084284
462.00	0.01998324
463.00	0.02056673
464.00	0.02010565
465.00	0.01988590
466.00	0.02002425
467.00	0.02022457
468.00	0.01997422
469.00	0.01929119
470.00	0.01979697
471.00	0.02069835
472.00	0.01999982
473.00	0.02043116
474.00	0.01923483
475.00	0.02046294
476.00	0.02068914
477.00	0.02056326
478.00	0.02045193
479.00	0.02176176
480.00	0.02013040
481.00	0.02059029
482.00	0.02133474
483.00	0.02195529
484.00	0.02357198
485.00	0.02100093
486.00	0.02166639
487.00	0.02094575
488.00	0.02335060
489.00	0.02309540
490.00	0.02220312
491.00	0.02190608
492.00	0.02215012
493.00	0.02235823
494.00	0.02154642
495.00	0.02146669
496.00	0.02144897
497.00	0.02142948
498.00	0.02223514
499.00	0.02143741
500.00	0.02152462
501.00	0.02249171
502.00	0.02153674
503.00	0.02068331
504.00	0.02199279
505.00	0.02250163
506.00	0.02241795
507.00	0.02244457
508.00	0.02259756
509.00	0.02154614
510.00	0.02216626
511.00	0.02444815
512.00	0.02386565
513.00	0.02305022
514.00	0.02383121
515.00	0.02355488
516.00	0.02431329
517.00	0.02379841
518.00	0.02562591
519.00	0.02453916
520.00	0.02596023
521.00	0.02555685
522.00	0.02486018
523.00	0.02491745
524.00	0.02582957
525.00	0.02643352
526.00	0.02670510
527.00	0.02697769
528.00	0.02654843
529.00	0.02822832
530.00	0.02744934
531.00	0.02562197
532.00	0.02745880
533.00	0.02824274
534.00	0.02803724
535.00	0.02768278
536.00	0.02767508
537.00	0.02793772
538.00	0.02901708
539.00	0.02840285
540.00	0.02871853
541.00	0.02923031
542.00	0.02993943
543.00	0.02946251
544.00	0.02828705
545.00	0.02965716
546.00	0.02930177
547.00	0.02939830
548.00	0.02911759
549.00	0.02783177
550.00	0.02786275
551.00	0.02817701
552.00	0.02914551
553.00	0.02982134
554.00	0.02938820
555.00	0.02919704
556.00	0.02917503
557.00	0.02822768
558.00	0.02955777
559.00	0.02904440
560.00	0.02905247
561.00	0.03050316
562.00	0.02968742
563.00	0.02966301
564.00	0.03054809
565.00	0.03031197
566.00	0.03151570
567.00	0.03133250
568.00	0.03118733
569.00	0.03149735
570.00	0.03249114
571.00	0.03173789
572.00	0.03218245
573.00	0.03220304
574.00	0.03297812
