Created as New Dataset,
nm,A
800.0,0.1811
797.0,0.1886
794.0,0.1921
791.0,0.1928
788.0,0.1994
785.0,0.2049
782.0,0.2079
779.0,0.2159
776.0,0.2219
773.0,0.2280
770.0,0.2289
767.0,0.2380
764.0,0.2459
761.0,0.2571
758.0,0.2613
755.0,0.2706
752.0,0.2838
749.0,0.2967
746.0,0.3075
743.0,0.3266
740.0,0.3405
737.0,0.3622
734.0,0.3843
731.0,0.4116
728.0,0.4374
725.0,0.4687
722.0,0.5032
719.0,0.5387
716.0,0.5809
713.0,0.6228
710.0,0.6611
707.0,0.7042
704.0,0.7456
701.0,0.7904
698.0,0.8351
695.0,0.8810
692.0,0.9299
689.0,0.9803
686.0,1.0402
683.0,1.0956
680.0,1.1629
677.0,1.2319
674.0,1.3055
671.0,1.3784
668.0,1.4570
665.0,1.5327
662.0,1.6143
659.0,1.6877
656.0,1.7636
653.0,1.8315
650.0,1.9068
647.0,1.9747
644.0,2.0260
641.0,2.0703
638.0,2.1117
635.0,2.1426
632.0,2.1747
629.0,2.1942
626.0,2.2093
623.0,2.2205
620.0,2.2315
617.0,2.2335
614.0,2.2191
611.0,2.2238
608.0,2.2130
605.0,2.1985
602.0,2.1809
599.0,2.1633
596.0,2.1390
593.0,2.1124
590.0,2.0725
587.0,2.0429
584.0,2.0192
581.0,1.9740
578.0,1.9339
575.0,1.8904
572.0,1.8378
569.0,1.7969
566.0,1.7517
563.0,1.6987
560.0,1.6485
557.0,1.6028
554.0,1.5557
551.0,1.5054
548.0,1.4605
545.0,1.4140
542.0,1.3688
539.0,1.3229
536.0,1.2813
533.0,1.2391
530.0,1.1986
527.0,1.1609
524.0,1.1262
521.0,1.0907
518.0,1.0583
515.0,1.0280
512.0,0.9997
509.0,0.9724
506.0,0.9463
503.0,0.9218
500.0,0.8982
497.0,0.8762
494.0,0.8549
491.0,0.8352
488.0,0.8135
485.0,0.7938
482.0,0.7763
479.0,0.7587
476.0,0.7422
473.0,0.7259
470.0,0.7127
467.0,0.7034
464.0,0.6939
461.0,0.6873
458.0,0.6870
455.0,0.6923
452.0,0.7066
449.0,0.7310
446.0,0.7651
443.0,0.8103
440.0,0.8670
437.0,0.9356
434.0,1.0146
431.0,1.0983
428.0,1.1879
425.0,1.2809
422.0,1.3691
419.0,1.4481
416.0,1.5150
413.0,1.5798
410.0,1.6258
407.0,1.6561
404.0,1.6727
401.0,1.6727
398.0,1.6569
395.0,1.6281
392.0,1.5921
389.0,1.5425
386.0,1.4849
383.0,1.4201
380.0,1.3485
377.0,1.2806
374.0,1.2101
371.0,1.1320
368.0,1.0653
365.0,1.0009
362.0,0.9369
359.0,0.8793
356.0,0.8316
353.0,0.7976
350.0,0.7680
347.0,0.7452
344.0,0.7331
341.0,0.7269
338.0,0.7271
335.0,0.7328
332.0,0.7431
329.0,0.7686
326.0,0.8008
323.0,0.8231
320.0,0.8437
317.0,0.8630
314.0,0.8758
311.0,0.8815
308.0,0.8787
305.0,0.8703
302.0,0.8601
299.0,0.8517
296.0,0.8497
293.0,0.8584
290.0,0.8800
287.0,0.9117
284.0,0.9463
281.0,0.9748
278.0,0.9931
275.0,1.0033
272.0,1.0097
269.0,1.0152
266.0,1.0221
263.0,1.0335
260.0,1.0529
257.0,1.0843
254.0,1.1283
251.0,1.1773
248.0,1.2203
