Created as New Dataset,
nm,A
800.0,0.0020
797.0,0.0017
794.0,-0.0022
791.0,-0.0023
788.0,-0.0032
785.0,-0.0011
782.0,-0.0039
779.0,-0.0050
776.0,0.0002
773.0,-0.0012
770.0,-0.0020
767.0,-0.0005
764.0,0.0001
761.0,0.0035
758.0,-0.0025
755.0,0.0033
752.0,0.0009
749.0,0.0001
746.0,0.0027
743.0,0.0009
740.0,0.0056
737.0,0.0062
734.0,0.0070
731.0,0.0077
728.0,0.0136
725.0,0.0196
722.0,0.0235
719.0,0.0281
716.0,0.0383
713.0,0.0462
710.0,0.0601
707.0,0.0757
704.0,0.0892
701.0,0.1081
698.0,0.1317
695.0,0.1573
692.0,0.1818
689.0,0.2172
686.0,0.2466
683.0,0.2769
680.0,0.3093
677.0,0.3405
674.0,0.3687
671.0,0.3962
668.0,0.4171
665.0,0.4376
662.0,0.4517
659.0,0.4628
656.0,0.4690
653.0,0.4744
650.0,0.4761
647.0,0.4747
644.0,0.4719
641.0,0.4671
638.0,0.4620
635.0,0.4561
632.0,0.4510
629.0,0.4452
626.0,0.4405
623.0,0.4330
620.0,0.4258
617.0,0.4206
614.0,0.4160
611.0,0.4089
608.0,0.4002
605.0,0.3921
602.0,0.3842
599.0,0.3758
596.0,0.3649
593.0,0.3562
590.0,0.3474
587.0,0.3358
584.0,0.3252
581.0,0.3146
578.0,0.3025
575.0,0.2908
572.0,0.2804
569.0,0.2705
566.0,0.2617
563.0,0.2514
560.0,0.2417
557.0,0.2326
554.0,0.2243
551.0,0.2159
548.0,0.2097
545.0,0.2014
542.0,0.1929
539.0,0.1856
536.0,0.1780
533.0,0.1712
530.0,0.1643
527.0,0.1582
524.0,0.1524
521.0,0.1461
518.0,0.1406
515.0,0.1358
512.0,0.1305
509.0,0.1260
506.0,0.1218
503.0,0.1176
500.0,0.1138
497.0,0.1096
494.0,0.1058
491.0,0.1020
488.0,0.0985
485.0,0.0949
482.0,0.0907
479.0,0.0888
476.0,0.0858
473.0,0.0835
470.0,0.0800
467.0,0.0781
464.0,0.0772
461.0,0.0761
458.0,0.0753
455.0,0.0757
452.0,0.0784
449.0,0.0818
446.0,0.0879
443.0,0.0974
440.0,0.1105
437.0,0.1260
434.0,0.1466
431.0,0.1684
428.0,0.1894
425.0,0.2097
422.0,0.2260
419.0,0.2375
416.0,0.2481
413.0,0.2542
410.0,0.2569
407.0,0.2601
404.0,0.2600
401.0,0.2549
398.0,0.2468
395.0,0.2386
392.0,0.2304
389.0,0.2193
386.0,0.2058
383.0,0.1931
380.0,0.1814
377.0,0.1682
374.0,0.1566
371.0,0.1444
368.0,0.1332
365.0,0.1231
362.0,0.1146
359.0,0.1052
356.0,0.0967
353.0,0.0921
350.0,0.0878
347.0,0.0859
344.0,0.0839
341.0,0.0823
338.0,0.0815
335.0,0.0839
332.0,0.0873
329.0,0.0890
326.0,0.0923
323.0,0.0983
320.0,0.1017
317.0,0.1031
314.0,0.1056
311.0,0.1071
308.0,0.1077
305.0,0.1080
302.0,0.1085
299.0,0.1097
296.0,0.1121
293.0,0.1161
290.0,0.1211
287.0,0.1263
284.0,0.1317
281.0,0.1349
278.0,0.1347
275.0,0.1324
272.0,0.1297
269.0,0.1283
266.0,0.1281
263.0,0.1286
260.0,0.1308
257.0,0.1370
254.0,0.1469
251.0,0.1601
248.0,0.1746
